,GeoID,ARTHRITIS,BPHIGH,CANCER,CASTHMA,CHD,COPD,DEPRESSION,DIABETES,HIGHCHOL,KIDNEY,OBESITY,STROKE,TEETHLOST,TotalPopulation
1025,36047112400,18.5,34.6,4.4,11.3,5.2,6.5,15.2,13.5,25.2,3.7,34.5,4.3,20.5,3416.0
1026,36047112600,17.8,33.1,4.3,11.0,4.9,6.2,15.3,12.9,25.4,3.4,33.7,4.0,23.9,3783.0
1027,36047112800,18.5,34.4,4.7,11.1,5.2,6.5,15.0,13.4,25.9,3.6,33.7,4.3,21.7,3822.0
1028,36047113000,17.7,33.0,4.4,11.3,4.8,6.2,15.4,12.7,25.0,3.4,33.3,4.0,25.9,3891.0
1029,36047113200,17.8,33.0,4.9,10.4,4.5,5.3,13.9,12.1,25.7,3.2,31.2,3.8,18.7,1937.0
1030,36047113400,17.3,31.7,3.7,12.3,5.1,7.4,17.5,13.2,23.9,3.7,35.1,4.1,32.0,2838.0
1031,36047114201,17.4,30.3,4.8,9.2,5.9,6.1,14.8,14.4,28.6,3.7,31.3,3.7,23.6,1578.0
1032,36047114202,14.8,26.6,4.3,8.9,4.3,4.7,14.3,11.0,25.6,2.9,28.9,2.9,17.2,2766.0
1033,36047114400,17.8,32.0,4.2,11.2,5.1,6.8,16.4,13.4,25.4,3.6,33.9,4.0,27.5,2403.0
1034,36047114600,15.6,27.7,4.2,9.5,5.2,5.8,15.4,12.7,26.7,3.3,29.8,3.3,19.6,2998.0
1035,36047115000,16.8,31.1,4.0,10.8,5.4,6.8,16.0,13.2,25.5,3.5,33.2,4.0,29.1,2595.0
1036,36047115200,17.4,31.8,4.4,11.3,5.2,6.6,16.0,12.8,25.1,3.6,32.5,4.1,24.5,3094.0
1037,36047115600,19.7,35.1,4.4,12.3,6.6,8.7,17.3,15.6,26.5,4.4,36.1,5.0,31.8,4315.0
1038,36047115800,18.7,34.5,4.8,11.0,5.8,7.0,15.2,14.2,27.1,3.7,33.0,4.5,22.2,2983.0
1039,36047116000,19.4,34.6,4.8,11.3,5.5,7.1,15.7,14.3,26.9,3.8,33.9,4.5,26.9,2543.0
1040,36047116200,20.6,37.0,5.1,11.4,6.1,7.4,15.3,15.0,27.4,4.1,34.6,5.0,24.6,2157.0
1041,36047116400,18.8,34.4,4.8,10.7,5.4,6.8,14.9,14.0,26.9,3.6,32.9,4.3,21.5,2921.0
1042,36047116600,14.0,26.6,3.8,9.6,3.8,4.7,14.4,10.2,23.5,2.7,29.4,2.9,19.3,2907.0
1043,36047116800,13.4,24.1,3.6,9.3,3.9,4.7,15.3,10.2,24.1,2.6,28.5,2.6,18.0,2057.0
1044,36047117000,16.2,28.7,3.8,9.9,5.7,6.9,16.4,14.2,27.1,3.6,32.1,3.6,22.9,1880.0
1045,36047117201,14.4,25.4,4.0,8.7,4.6,5.0,14.9,11.5,25.8,3.0,29.1,2.8,19.3,2713.0
