LocationID,TotalPopulation
36005000100,11091.0
36005000200,4334.0
36005000400,5503.0
36005001600,5643.0
36005001900,1917.0
36005002000,8731.0
36005002300,4933.0
36005002500,5491.0
36005002701,3113.0
36005002702,4475.0
36005002800,5586.0
36005003100,1597.0
36005003300,3413.0
36005003500,3761.0
36005003700,245.0
36005003800,1264.0
36005003900,6475.0
36005004001,1420.0
36005004100,6127.0
36005004200,7143.0
36005004300,5056.0
36005004400,4797.0
36005004600,1555.0
36005004800,3883.0
36005005001,4767.0
36005005002,5823.0
36005005100,5810.0
36005005200,2031.0
36005005300,4669.0
36005005400,5853.0
36005005600,2711.0
36005005902,2582.0
36005006000,1129.0
36005006100,3713.0
36005006200,6585.0
36005006300,5280.0
36005006400,3967.0
36005006500,5337.0
36005006700,6984.0
36005006800,2897.0
36005006900,7564.0
36005007000,4584.0
36005007100,1907.0
36005007200,5432.0
36005007300,3893.0
36005007400,3710.0
36005007500,4869.0
36005007600,5190.0
36005007700,1927.0
36005007800,6418.0
36005007900,6733.0
36005008300,6155.0
36005008400,2374.0
36005008500,5457.0
36005008600,4176.0
36005008700,5466.0
36005008900,3177.0
36005009000,3667.0
36005009200,5017.0
36005009300,6356.0
36005009600,2594.0
36005009800,5038.0
36005011000,151.0
36005011502,4340.0
36005011700,1585.0
36005011800,5089.0
36005011900,5698.0
36005012101,3090.0
36005012102,1631.0
36005012300,4152.0
36005012500,3905.0
36005012701,2253.0
36005012901,4015.0
36005013000,1032.0
36005013100,5103.0
36005013200,5890.0
36005013300,6384.0
36005013500,3583.0
36005013800,3042.0
36005014100,3437.0
36005014300,1003.0
36005014400,5880.0
36005014500,5816.0
36005014701,6461.0
36005014702,5110.0
36005014900,4591.0
36005015100,5409.0
36005015200,2341.0
36005015300,4031.0
36005015500,3005.0
36005015700,3580.0
36005015800,1206.0
36005015900,2164.0
36005016000,3767.0
36005016100,4380.0
36005016200,1769.0
36005016400,1141.0
36005016500,1077.0
36005016600,2166.0
36005016700,2047.0
36005016900,1663.0
36005017300,5987.0
36005017500,6911.0
36005017701,4294.0
36005017702,4805.0
36005017901,4677.0
36005017902,3587.0
36005018101,3300.0
36005018102,5555.0
36005018301,4525.0
36005018302,3647.0
36005018400,3855.0
36005018500,7466.0
36005018900,7752.0
36005019300,5461.0
36005019400,1903.0
36005019500,7756.0
36005019700,7501.0
36005019900,8154.0
36005020000,4878.0
36005020100,4013.0
36005020200,2155.0
36005020400,2976.0
36005020501,6996.0
36005020502,1764.0
36005020601,3050.0
36005020900,4361.0
36005021001,8521.0
36005021002,6839.0
36005021100,5565.0
36005021200,5267.0
36005021301,1201.0
36005021302,5415.0
36005021501,3506.0
36005021502,6051.0
36005021601,4206.0
36005021602,5769.0
36005021700,5334.0
36005021800,6499.0
36005021900,1367.0
36005022000,1487.0
36005022101,3849.0
36005022102,5488.0
36005022200,3425.0
36005022300,5047.0
36005022401,2708.0
36005022403,3188.0
36005022404,4509.0
36005022500,7698.0
36005022701,5196.0
36005022702,1699.0
36005022703,1556.0
36005022800,6218.0
36005022901,5370.0
36005022902,3273.0
36005023000,2950.0
36005023100,1537.0
36005023200,2661.0
36005023301,4377.0
36005023302,3415.0
36005023501,3341.0
36005023502,4386.0
36005023600,1907.0
36005023702,1241.0
36005023703,5253.0
36005023704,3758.0
36005023800,2615.0
36005023900,8348.0
36005024000,3882.0
36005024100,6182.0
36005024300,5685.0
36005024400,2120.0
36005024501,4864.0
36005024502,3640.0
36005024600,2058.0
36005024700,1764.0
36005024800,3363.0
36005025000,2383.0
36005025100,6802.0
36005025200,2530.0
36005025300,6332.0
36005025400,1959.0
36005025500,6529.0
36005025600,1663.0
36005025700,1912.0
36005026100,1932.0
36005026300,6984.0
36005026400,4935.0
36005026500,6942.0
36005026601,2911.0
36005026602,5301.0
36005026701,4037.0
36005026702,7040.0
36005026900,3777.0
36005027300,7942.0
36005027401,4785.0
36005027402,3386.0
36005027600,473.0
36005027700,5065.0
36005027900,6966.0
36005028100,3794.0
36005028300,3149.0
36005028400,894.0
36005028500,3307.0
36005028600,1191.0
36005028700,3178.0
36005028800,3097.0
36005028900,4502.0
36005029301,1875.0
36005029302,5052.0
36005029500,4240.0
36005029600,2549.0
36005029700,3554.0
36005030000,5838.0
36005030100,1304.0
36005030200,8887.0
36005030701,5378.0
36005030900,3891.0
36005031000,4415.0
36005031200,1524.0
36005031400,1966.0
36005031600,1863.0
36005031800,1810.0
36005031900,751.0
36005032300,4904.0
36005032400,2957.0
36005032600,3154.0
36005032800,3979.0
36005033000,5696.0
36005033201,4115.0
36005033202,4167.0
36005033400,1351.0
36005033500,2178.0
36005033600,6188.0
36005033700,2357.0
36005033800,3818.0
36005034000,4618.0
36005034200,1675.0
36005034300,1649.0
36005034400,1736.0
36005034500,3566.0
36005034800,6129.0
36005035000,1925.0
36005035100,3186.0
36005035600,2027.0
36005035800,7166.0
36005035900,2061.0
36005036000,2706.0
36005036100,6019.0
36005036300,7509.0
36005036400,2557.0
36005036501,3965.0
36005036502,2423.0
36005036700,2599.0
36005036800,2011.0
36005036901,2005.0
36005036902,2119.0
36005037000,2303.0
36005037100,4241.0
36005037200,2222.0
36005037300,5318.0
36005037400,3441.0
36005037504,3677.0
36005037600,2148.0
36005037800,3048.0
36005037900,5093.0
36005038000,4585.0
36005038100,6382.0
36005038200,2596.0
36005038301,4797.0
36005038302,6106.0
36005038500,4758.0
36005038600,7409.0
36005038700,3216.0
36005038800,2606.0
36005038900,5325.0
36005039000,2975.0
36005039100,6992.0
36005039200,1781.0
36005039300,8143.0
36005039400,4573.0
36005039500,4146.0
36005039600,3756.0
36005039700,3702.0
36005039800,3090.0
36005039901,5228.0
36005039902,5279.0
36005040100,4593.0
36005040302,4386.0
36005040303,4478.0
36005040304,3794.0
36005040400,3016.0
36005040501,4397.0
36005040502,6863.0
36005040600,3490.0
36005040701,3347.0
36005040702,6652.0
36005040800,4263.0
36005040900,3637.0
36005041100,2931.0
36005041300,7384.0
36005041400,5027.0
36005041500,5461.0
36005041800,3598.0
36005041900,6734.0
36005042000,3850.0
36005042100,5922.0
36005042200,3086.0
36005042300,4100.0
36005042400,2481.0
36005042500,6793.0
36005042600,6387.0
36005042800,2173.0
36005042901,3420.0
36005042902,3845.0
36005043000,2898.0
36005043100,9680.0
36005043400,3592.0
36005043600,2032.0
36005044200,3555.0
36005044400,3878.0
36005044800,2026.0
36005044901,1818.0
36005044902,1949.0
36005045101,1656.0
36005045102,1894.0
36005045600,2896.0
36005045800,6123.0
36005046000,2741.0
36005046201,26588.0
36005046202,8277.0
36005048400,3598.0
36005051600,4362.0
36047000100,4338.0
36047000200,1470.0
36047000301,4259.0
36047000501,4247.0
36047000502,2512.0
36047000700,3359.0
36047000900,4172.0
36047001100,84.0
36047001300,2275.0
36047001500,3521.0
36047001800,2105.0
36047002000,1672.0
36047002100,3604.0
36047002200,4613.0
36047002300,4247.0
36047002901,3218.0
36047003000,1730.0
36047003100,2472.0
36047003300,2327.0
36047003400,3047.0
36047003500,1554.0
36047003600,3804.0
36047003700,390.0
36047003800,1498.0
36047003900,2229.0
36047004100,3598.0
36047004300,3008.0
36047004400,2359.0
36047004500,3325.0
36047004600,1199.0
36047004700,1445.0
36047004900,2516.0
36047005000,2276.0
36047005100,2171.0
36047005201,1829.0
36047005202,2481.0
36047005300,1888.0
36047005400,3139.0
36047005601,2505.0
36047005602,1586.0
36047005800,3152.0
36047005900,1384.0
36047006000,2826.0
36047006200,2853.0
36047006300,1892.0
36047006400,3478.0
36047006500,5191.0
36047006600,3663.0
36047006700,3301.0
36047006800,4870.0
36047006900,3537.0
36047007000,2344.0
36047007100,4495.0
36047007200,1946.0
36047007400,5451.0
36047007500,4383.0
36047007600,4412.0
36047007700,3901.0
36047007800,5068.0
36047008000,4169.0
36047008200,4141.0
36047008400,3299.0
36047008500,6956.0
36047008800,3207.0
36047009000,2994.0
36047009200,5388.0
36047009400,5805.0
36047009600,6126.0
36047009800,7024.0
36047010000,6737.0
36047010100,4093.0
36047010200,5622.0
36047010400,5908.0
36047010600,5851.0
36047010800,5280.0
36047011000,2441.0
36047011200,6436.0
36047011400,3976.0
36047011600,4816.0
36047011700,2364.0
36047011800,2253.0
36047011900,1530.0
36047012000,1268.0
36047012100,1619.0
36047012200,5339.0
36047012600,2652.0
36047012700,3507.0
36047012801,2117.0
36047012901,2159.0
36047012902,1964.0
36047013000,4792.0
36047013100,3828.0
36047013200,2239.0
36047013300,3730.0
36047013400,3907.0
36047013500,3596.0
36047013600,3927.0
36047013700,3057.0
36047013800,3168.0
36047013900,3481.0
36047014000,1826.0
36047014100,3017.0
36047014200,3223.0
36047014300,3487.0
36047014500,4179.0
36047014700,2084.0
36047014800,1209.0
36047014900,4976.0
36047015000,1574.0
36047015100,3578.0
36047015200,2309.0
36047015300,3041.0
36047015500,3272.0
36047015700,4135.0
36047015900,5036.0
36047016000,4217.0
36047016100,3075.0
36047016200,2082.0
36047016300,2991.0
36047016400,764.0
36047016500,5141.0
36047016600,2059.0
36047016700,4638.0
36047016800,1510.0
36047016900,4497.0
36047017000,3254.0
36047017100,3749.0
36047017200,2931.0
36047017400,1793.0
36047017600,2295.0
36047017800,2898.0
36047017900,3624.0
36047018000,3193.0
36047018100,3936.0
36047018200,3163.0
36047018300,2500.0
36047018400,2002.0
36047018501,3827.0
36047018600,2124.0
36047018700,1411.0
36047018800,2640.0
36047019000,4782.0
36047019100,2332.0
36047019200,2772.0
36047019300,5628.0
36047019400,3305.0
36047019500,3366.0
36047019600,4353.0
36047019700,3313.0
36047019800,1702.0
36047019900,2929.0
36047020000,2265.0
36047020100,3421.0
36047020200,1874.0
36047020300,1697.0
36047020400,1708.0
36047020500,2469.0
36047020600,2220.0
36047020700,4310.0
36047020800,3048.0
36047021000,3968.0
36047021100,1210.0
36047021200,4643.0
36047021300,4205.0
36047021400,2152.0
36047021500,5307.0
36047021600,4015.0
36047021700,3597.0
36047021800,3761.0
36047021900,3595.0
36047022000,4939.0
36047022100,3609.0
36047022200,4693.0
36047022400,5486.0
36047022600,2516.0
36047022700,3454.0
36047022800,3306.0
36047022900,3395.0
36047023000,4515.0
36047023100,3025.0
36047023200,5699.0
36047023300,5061.0
36047023400,5059.0
36047023500,3928.0
36047023600,5600.0
36047023800,4590.0
36047024000,4693.0
36047024100,2229.0
36047024200,2984.0
36047024300,3786.0
36047024400,3238.0
36047024500,3946.0
36047024600,3256.0
36047024700,2316.0
36047024800,2698.0
36047024900,3823.0
36047025000,1722.0
36047025100,3816.0
36047025200,4786.0
36047025300,2754.0
36047025400,3500.0
36047025500,5102.0
36047025600,3058.0
36047025700,2131.0
36047025800,4597.0
36047025901,2010.0
36047025902,3419.0
36047026000,3649.0
36047026100,4917.0
36047026200,2374.0
36047026300,1868.0
36047026400,4592.0
36047026500,3838.0
36047026600,3733.0
36047026700,3920.0
36047026800,4188.0
36047026900,2770.0
36047027000,2449.0
36047027100,2471.0
36047027200,3480.0
36047027300,2813.0
36047027400,3028.0
36047027500,4180.0
36047027600,3694.0
36047027700,3945.0
36047027800,3220.0
36047027900,3674.0
36047028000,1761.0
36047028100,4193.0
36047028200,2943.0
36047028300,4097.0
36047028400,4003.0
36047028501,428.0
36047028502,2802.0
36047028600,4814.0
36047028700,2991.0
36047028800,3458.0
36047028900,3538.0
36047029000,3920.0
36047029100,3101.0
36047029200,2539.0
36047029300,3106.0
36047029400,2321.0
36047029500,3425.0
36047029600,5546.0
36047029700,3344.0
36047029800,3717.0
36047029900,2579.0
36047030000,4120.0
36047030100,2750.0
36047030200,4214.0
36047030300,4458.0
36047030400,4281.0
36047030500,5549.0
36047030600,2005.0
36047030700,4544.0
36047030800,1949.0
36047030900,1754.0
36047031100,2833.0
36047031300,4648.0
36047031400,4544.0
36047031500,5175.0
36047031701,3433.0
36047031702,3363.0
36047031900,3508.0
36047032100,5001.0
36047032300,3554.0
36047032500,6405.0
36047032600,6948.0
36047032700,2924.0
36047032800,3138.0
36047032900,5582.0
36047033000,4587.0
36047033100,4520.0
36047033300,4085.0
36047033500,3139.0
36047033600,4759.0
36047033700,4105.0
36047033900,4376.0
36047034000,2248.0
36047034100,2607.0
36047034200,6502.0
36047034300,5281.0
36047034500,2647.0
36047034700,3228.0
36047034800,2537.0
36047034900,5403.0
36047035000,3296.0
36047035100,4597.0
36047035200,1246.0
36047035300,5161.0
36047035400,6271.0
36047035500,5253.0
36047035601,2912.0
36047035602,5271.0
36047035700,2506.0
36047035900,5685.0
36047036001,3217.0
36047036002,3930.0
36047036100,2608.0
36047036200,4204.0
36047036300,4108.0
36047036400,2405.0
36047036501,2624.0
36047036502,1255.0
36047036600,4767.0
36047036700,1305.0
36047036900,4923.0
36047037000,4085.0
36047037100,4120.0
36047037300,3784.0
36047037401,4301.0
36047037402,4573.0
36047037500,2910.0
36047037700,3660.0
36047037900,3706.0
36047038100,4763.0
36047038200,5943.0
36047038300,3931.0
36047038500,3422.0
36047038600,3477.0
36047038700,4010.0
36047038800,3841.0
36047038900,2773.0
36047039000,2282.0
36047039100,2303.0
36047039200,2756.0
36047039300,3549.0
36047039400,2441.0
36047039500,3380.0
36047039600,2126.0
36047039700,3389.0
36047039800,2644.0
36047039900,3823.0
36047040000,3069.0
36047040100,3518.0
36047040200,2740.0
36047040300,3538.0
36047040400,2551.0
36047040500,1480.0
36047040600,3184.0
36047040800,3566.0
36047040900,3752.0
36047041000,1773.0
36047041100,3302.0
36047041200,2929.0
36047041300,3822.0
36047041401,1351.0
36047041402,1612.0
36047041500,4064.0
36047041600,2324.0
36047041700,3609.0
36047041800,2359.0
36047041900,3770.0
36047042000,1896.0
36047042100,3920.0
36047042200,3568.0
36047042300,4217.0
36047042400,3666.0
36047042500,3042.0
36047042600,4135.0
36047042700,5074.0
36047042800,3857.0
36047042900,5630.0
36047043000,3333.0
36047043100,5113.0
36047043200,4250.0
36047043300,4064.0
36047043400,3433.0
36047043500,4463.0
36047043600,4160.0
36047043700,5240.0
36047043800,2481.0
36047043900,3829.0
36047044000,2880.0
36047044100,5643.0
36047044200,2658.0
36047044300,5557.0
36047044400,3336.0
36047044500,4446.0
36047044600,1909.0
36047044700,2310.0
36047044800,1915.0
36047044900,2932.0
36047045000,673.0
36047045200,2701.0
36047045300,2017.0
36047045400,1852.0
36047045600,2357.0
36047045800,1490.0
36047046000,3729.0
36047046201,2632.0
36047046202,1803.0
36047046400,2838.0
36047046800,2054.0
36047047000,2886.0
36047047200,3141.0
36047047400,2969.0
36047047600,3646.0
36047047700,3318.0
36047047800,4848.0
36047048000,3769.0
36047048100,2778.0
