,GeoID,T_WalkVSDrive,T_Transit,BE_nodeD
0,36005000100,5.337408991973343e-06,9.01631953836444e-05,53.30769230769231
1,36005000200,6.238411779801897e-05,0.0025230232138199,1292.5217391304348
2,36005000400,5.442386596248032e-05,0.0020781205589491,1353.7435897435898
3,36005001600,5.838688959923938e-05,0.0054403685982633,2556.0
4,36005001900,0.0001714495381402,0.0212529658236155,836.8279569892474
5,36005002000,4.8932374374021785e-05,0.0034233064813754,2355.9444444444443
6,36005002300,9.662464367638764e-05,0.0156294344212446,1472.3
7,36005002500,7.282017764293125e-05,0.0117237297395738,1161.375
8,36005002701,0.0001487112844638,0.0179248313523931,896.2
9,36005002702,9.411000425943812e-05,0.0135567970204841,841.1666666666666
10,36005002800,7.000523813348567e-05,0.0082017212343026,2309.4814814814813
11,36005003100,0.0002452068047648,0.0403028405533101,994.7272727272727
12,36005003300,0.0001145700556939,0.0198787441682255,910.7692307692308
13,36005003500,0.0001068755547068,0.0186938825598756,979.8461538461538
14,36005003700,0.002984103327846,0.3346938775510204,1063.0
15,36005003800,0.0002270122345491,0.0243670886075949,2604.0
16,36005003900,6.147642849781116e-05,0.011088803088803,1193.5
17,36005004001,0.0002865126317291,0.0392018779342723,3195.1666666666665
18,36005004100,6.790915720659856e-05,0.0124857189489146,1165.1
19,36005004200,5.3062668259747534e-05,0.0070231928694759,3056.208333333333
20,36005004300,7.834421620022151e-05,0.0174380274261603,1223.888888888889
21,36005004400,9.894656933093463e-05,0.0113404210965186,3084.7
22,36005004600,0.000262785950922,0.0277022013356418,2782.923076923077
23,36005004800,9.175241719678366e-05,0.0108936389389647,2626.0
24,36005005001,8.505098011166673e-05,0.0099853157121879,2364.6
25,36005005002,6.446685600261584e-05,0.0079283301848989,2265.333333333333
26,36005005100,6.590376594330784e-05,0.0149004179985247,1555.2857142857142
27,36005005200,0.0001834280617303,0.0286276992333122,2028.0
28,36005005300,2.691036016393197e-05,0.0140745953553835,1657.428571428571
29,36005005400,6.277425814612353e-05,0.0101942024033259,2129.6666666666665
