,GeoID,SE_Unemploy,SE_Insurance,SE_Poverty,SE_English
137,36005021800,3.5,87.4,21.5,21.2
138,36005021900,5.5,94.6,26.1,40.2
139,36005022000,18.2,84.6,29.9,29.0
140,36005022101,6.1,86.7,37.8,31.8
141,36005022102,11.7,81.9,25.2,33.6
142,36005022200,2.0,89.1,19.5,21.5
143,36005022300,11.3,89.8,33.2,36.0
144,36005022401,14.9,89.9,16.6,9.8
145,36005022403,9.5,89.4,15.4,20.1
146,36005022404,8.9,91.2,9.3,22.2
147,36005022500,12.9,91.0,23.1,27.4
148,36005022701,11.9,93.9,29.9,24.7
149,36005022702,10.2,89.7,31.3,19.0
150,36005022703,12.6,89.0,21.4,20.6
151,36005022800,7.5,89.2,16.6,23.1
152,36005022901,7.1,86.3,30.4,23.2
153,36005022902,12.9,90.2,24.6,25.6
154,36005023000,6.8,95.3,22.8,22.9
155,36005023100,12.7,87.9,42.1,35.0
156,36005023200,5.1,93.0,22.6,22.9
157,36005023301,14.5,89.7,28.6,30.0
158,36005023302,10.3,92.8,30.8,31.1
159,36005023501,9.9,91.5,32.9,36.3
160,36005023502,8.7,89.8,25.2,28.7
161,36005023600,12.5,88.0,24.6,25.0
162,36005023702,16.6,88.9,33.7,33.7
163,36005023703,16.3,90.2,34.8,24.0
164,36005023704,17.9,89.5,50.1,35.3
165,36005023800,8.5,89.9,11.4,20.1
166,36005023900,14.4,88.4,32.7,31.2
167,36005024000,9.8,81.7,24.5,24.6
168,36005024100,8.6,92.2,23.0,26.3
169,36005024300,8.5,92.6,33.6,29.2
170,36005024400,10.9,94.3,8.1,14.6
171,36005024501,12.4,93.5,42.9,36.1
172,36005024502,6.6,94.0,26.7,19.2
173,36005024600,8.7,96.9,11.9,27.0
174,36005024700,7.5,89.7,21.7,21.9
175,36005024800,8.3,87.7,7.9,23.1
176,36005025000,3.9,96.4,6.6,14.8
177,36005025100,8.9,82.6,30.1,29.4
178,36005025200,4.1,90.8,14.3,13.2
179,36005025300,10.2,88.4,24.2,30.6
180,36005025400,6.7,95.2,8.5,13.1
