,GeoID,GHLTH,MHLTH,PHLTH,TotalPopulation
489,36047021400,25.5,17.9,15.6,2152.0
490,36047021500,13.8,12.2,9.2,5307.0
491,36047021600,24.3,18.5,16.3,4015.0
492,36047021700,16.4,13.0,10.2,3597.0
493,36047021800,25.5,19.5,16.9,3761.0
494,36047021900,16.4,13.4,10.1,3595.0
495,36047022000,32.9,23.5,21.6,4939.0
496,36047022100,18.5,14.1,11.0,3609.0
497,36047022200,26.0,19.6,17.4,4693.0
498,36047022400,23.0,17.5,14.5,5486.0
499,36047022600,25.6,16.1,13.7,2516.0
500,36047022700,13.1,11.2,8.4,3454.0
501,36047022800,25.2,17.4,15.1,3306.0
502,36047022900,12.5,11.8,8.1,3395.0
503,36047023000,27.0,20.1,17.1,4515.0
504,36047023100,11.9,11.6,7.8,3025.0
505,36047023200,26.9,20.2,17.8,5699.0
506,36047023300,18.4,14.5,11.1,5061.0
507,36047023400,28.2,21.9,19.5,5059.0
508,36047023500,16.9,16.7,10.2,3928.0
509,36047023600,28.3,21.9,19.3,5600.0
510,36047023800,23.9,18.5,16.7,4590.0
511,36047024000,26.3,19.2,17.7,4693.0
512,36047024100,21.2,16.1,12.5,2229.0
513,36047024200,21.1,18.1,14.1,2984.0
514,36047024300,17.7,13.3,10.7,3786.0
515,36047024400,21.4,16.7,14.2,3238.0
516,36047024500,15.6,12.5,9.7,3946.0
517,36047024600,20.0,14.1,12.9,3256.0
518,36047024700,24.4,16.5,14.6,2316.0
519,36047024800,20.4,13.9,12.6,2698.0
520,36047024900,14.4,11.9,9.1,3823.0
521,36047025000,24.2,13.6,13.8,1722.0
522,36047025100,21.8,15.1,12.5,3816.0
523,36047025200,19.1,12.9,12.1,4786.0
524,36047025300,20.4,14.9,12.4,2754.0
525,36047025400,22.7,13.9,13.8,3500.0
526,36047025500,36.4,19.5,20.2,5102.0
527,36047025600,26.2,14.6,16.0,3058.0
528,36047025700,19.9,13.9,11.1,2131.0
529,36047025800,21.6,14.3,13.5,4597.0
530,36047025901,19.1,14.9,10.7,2010.0
531,36047025902,43.9,23.3,24.7,3419.0
532,36047026000,20.3,13.2,12.3,3649.0
533,36047026100,20.2,14.9,12.0,4917.0
534,36047026200,19.0,12.5,11.9,2374.0
535,36047026300,19.9,14.0,11.9,1868.0
536,36047026400,21.8,14.5,13.2,4592.0
537,36047026500,19.4,13.9,11.3,3838.0
538,36047026600,24.8,15.3,15.2,3733.0
539,36047026700,17.2,11.9,10.6,3920.0
540,36047026800,20.0,13.8,12.8,4188.0
541,36047026900,18.0,13.1,11.0,2770.0
542,36047027000,19.3,13.4,13.4,2449.0
543,36047027100,17.9,12.8,10.9,2471.0
544,36047027200,19.9,13.4,12.5,3480.0
545,36047027300,18.8,13.7,11.4,2813.0
546,36047027400,19.6,13.4,12.5,3028.0
547,36047027500,17.0,12.6,10.4,4180.0
548,36047027600,25.3,15.7,15.3,3694.0
549,36047027700,22.1,15.5,13.0,3945.0
550,36047027800,16.4,12.4,10.8,3220.0
551,36047027900,18.8,13.3,11.1,3674.0
552,36047028000,18.4,12.9,11.8,1761.0
553,36047028100,27.7,17.4,15.8,4193.0
554,36047028200,17.6,12.5,11.7,2943.0
555,36047028300,27.9,16.9,15.5,4097.0
556,36047028400,18.2,13.4,11.9,4003.0
557,36047028502,35.5,18.5,19.8,2802.0
558,36047028600,20.3,13.4,14.0,4814.0
559,36047028700,22.3,14.7,12.7,2991.0
560,36047028800,22.9,14.2,14.1,3458.0
561,36047028900,23.7,15.2,13.5,3538.0
562,36047029000,18.0,13.2,12.6,3920.0
563,36047029100,18.0,12.6,10.8,3101.0
564,36047029200,19.8,13.6,12.9,2539.0
565,36047029300,23.3,14.6,14.0,3106.0
566,36047029400,26.9,14.0,17.5,2321.0
567,36047029500,15.9,12.0,9.8,3425.0
568,36047029600,16.9,12.7,11.8,5546.0
569,36047029700,16.7,12.6,10.5,3344.0
570,36047029800,17.8,12.9,11.5,3717.0
571,36047029900,22.9,16.1,12.9,2579.0
572,36047030000,21.7,13.8,13.5,4120.0
573,36047030100,21.8,15.3,12.9,2750.0
574,36047030200,18.4,12.2,11.7,4214.0
575,36047030300,25.5,17.2,14.4,4458.0
576,36047030400,20.6,12.7,13.3,4281.0
577,36047030500,12.0,11.8,7.7,5549.0
578,36047030600,20.5,13.5,12.8,2005.0
579,36047030700,36.0,20.4,20.8,4544.0
580,36047030800,18.9,13.0,13.0,1949.0
581,36047030900,27.0,17.0,15.3,1754.0
582,36047031100,23.3,16.0,13.7,2833.0
583,36047031300,19.8,13.3,12.0,4648.0
584,36047031400,17.6,11.8,12.2,4544.0
585,36047031500,16.1,12.3,10.0,5175.0
586,36047031701,14.8,12.0,9.2,3433.0
587,36047031702,12.6,11.1,8.1,3363.0
588,36047031900,17.8,13.0,11.2,3508.0
589,36047032100,19.7,13.2,11.8,5001.0
590,36047032300,18.7,13.0,11.3,3554.0
591,36047032500,22.8,15.1,13.5,6405.0
592,36047032600,30.8,17.4,17.8,6948.0
593,36047032700,18.3,12.9,11.2,2924.0
594,36047032800,25.1,14.2,14.3,3138.0
595,36047032900,24.5,15.9,15.0,5582.0
596,36047033000,29.3,17.5,17.6,4587.0
597,36047033100,18.6,15.5,12.3,4520.0
598,36047033300,19.1,16.2,12.8,4085.0
599,36047033500,16.1,14.3,10.8,3139.0
600,36047033600,16.2,12.9,11.9,4759.0
601,36047033700,17.4,14.1,11.0,4105.0
602,36047033900,23.9,14.5,14.1,4376.0
603,36047034000,35.6,14.9,22.7,2248.0
604,36047034100,20.3,13.2,12.3,2607.0
605,36047034200,36.2,17.9,22.6,6502.0
606,36047034300,30.9,18.1,17.9,5281.0
607,36047034500,21.6,14.8,13.1,2647.0
608,36047034700,22.1,14.8,13.0,3228.0
609,36047034800,27.5,17.3,15.6,2537.0
610,36047034900,24.2,16.1,14.2,5403.0
611,36047035000,16.7,12.3,13.0,3296.0
612,36047035100,23.2,15.6,14.0,4597.0
613,36047035200,41.5,13.9,27.2,1246.0
614,36047035300,23.2,15.7,13.6,5161.0
615,36047035400,15.5,10.5,12.2,6271.0
616,36047035500,22.7,15.6,13.7,5253.0
617,36047035601,16.7,11.2,13.4,2912.0
618,36047035602,14.3,10.3,11.6,5271.0
619,36047035700,27.8,18.5,16.0,2506.0
620,36047035900,29.1,19.1,16.6,5685.0
621,36047036001,21.2,12.3,16.0,3217.0
622,36047036002,23.3,12.0,17.5,3930.0
623,36047036100,29.2,17.0,16.7,2608.0
624,36047036200,22.4,14.5,13.8,4204.0
625,36047036300,27.1,16.9,15.4,4108.0
626,36047036400,17.3,12.4,11.8,2405.0
627,36047036501,30.3,17.4,17.5,2624.0
628,36047036502,30.3,17.0,16.7,1255.0
629,36047036600,22.7,13.9,14.5,4767.0
630,36047036700,23.2,14.3,12.9,1305.0
631,36047036900,26.2,16.7,14.8,4923.0
632,36047037000,16.1,12.3,11.7,4085.0
633,36047037100,19.0,14.2,11.3,4120.0
634,36047037300,22.0,14.4,13.1,3784.0
635,36047037401,15.3,12.0,11.5,4301.0
636,36047037402,19.9,13.1,14.5,4573.0
637,36047037500,20.8,14.7,12.0,2910.0
638,36047037700,21.5,14.6,12.9,3660.0
639,36047037900,22.0,15.4,13.0,3706.0
640,36047038100,21.7,14.4,12.8,4763.0
641,36047038200,35.0,18.7,19.7,5943.0
642,36047038300,19.2,13.4,11.6,3931.0
643,36047038500,16.3,11.6,9.9,3422.0
644,36047038600,17.2,12.8,11.4,3477.0
645,36047038700,19.9,13.7,11.7,4010.0
646,36047038800,16.6,13.3,12.0,3841.0
647,36047038900,16.9,12.5,9.5,2773.0
648,36047039000,17.3,14.5,12.6,2282.0
649,36047039100,18.4,12.6,10.1,2303.0
650,36047039200,15.5,13.3,11.2,2756.0
651,36047039300,19.0,13.2,10.6,3549.0
652,36047039400,20.8,16.1,14.3,2441.0
653,36047039500,24.1,14.2,13.4,3380.0
654,36047039600,14.6,13.5,10.9,2126.0
655,36047039700,23.2,15.2,13.4,3389.0
656,36047039800,21.5,14.2,13.3,2644.0
657,36047039900,21.0,13.5,11.8,3823.0
658,36047040000,18.9,12.7,12.1,3069.0
659,36047040100,20.4,14.3,11.6,3518.0
660,36047040200,20.6,13.1,12.7,2740.0
661,36047040300,21.4,14.6,12.4,3538.0
662,36047040400,19.4,13.2,12.3,2551.0
663,36047040500,18.2,12.9,10.5,1480.0
664,36047040600,22.5,14.5,13.9,3184.0
665,36047040800,16.5,11.9,10.2,3566.0
666,36047040900,25.0,15.5,13.6,3752.0
667,36047041000,21.5,14.1,14.8,1773.0
668,36047041100,23.2,14.0,13.0,3302.0
669,36047041200,16.8,12.4,11.4,2929.0
670,36047041300,22.8,13.7,12.7,3822.0
671,36047041401,20.3,16.5,14.4,1351.0
672,36047041402,17.8,13.4,13.4,1612.0
673,36047041500,21.4,13.7,11.8,4064.0
674,36047041600,16.9,15.1,12.2,2324.0
675,36047041700,30.9,15.5,16.6,3609.0
676,36047041800,22.4,15.2,15.5,2359.0
677,36047041900,24.7,14.4,13.3,3770.0
678,36047042000,15.9,13.9,11.4,1896.0
679,36047042100,24.9,14.9,13.0,3920.0
680,36047042200,17.1,14.0,11.8,3568.0
681,36047042300,20.0,12.9,10.7,4217.0
682,36047042400,20.3,14.3,13.0,3666.0
683,36047042500,15.5,12.6,8.7,3042.0
684,36047042600,19.4,13.2,12.4,4135.0
685,36047042700,20.8,14.9,11.2,5074.0
686,36047042800,15.6,11.4,11.2,3857.0
687,36047042900,24.7,15.2,13.1,5630.0
688,36047043000,24.0,15.1,15.6,3333.0
689,36047043100,21.5,14.1,11.5,5113.0
690,36047043200,19.1,13.0,11.8,4250.0
691,36047043300,30.3,15.7,15.7,4064.0
692,36047043400,20.4,13.7,13.5,3433.0
693,36047043500,23.2,13.9,12.3,4463.0
694,36047043600,19.5,13.8,12.6,4160.0
695,36047043700,21.3,13.8,11.7,5240.0
696,36047043800,20.0,15.3,14.2,2481.0
697,36047043900,28.1,15.1,14.8,3829.0
698,36047044000,17.3,14.4,12.3,2880.0
699,36047044100,22.7,13.5,12.1,5643.0
700,36047044200,14.1,13.0,10.7,2658.0
701,36047044300,19.9,12.9,10.8,5557.0
702,36047044400,19.3,15.4,13.4,3336.0
703,36047044500,21.8,14.1,11.7,4446.0
704,36047044600,21.7,14.8,13.6,1909.0
705,36047044700,22.9,17.1,12.7,2310.0
706,36047044800,16.8,12.8,12.5,1915.0
707,36047044900,33.8,18.6,19.7,2932.0
708,36047045200,11.8,11.8,9.5,2701.0
709,36047045300,26.5,18.5,14.6,2017.0
710,36047045400,17.4,14.2,12.5,1852.0
711,36047045600,20.6,14.9,14.5,2357.0
712,36047045800,13.4,11.7,10.6,1490.0
713,36047046000,18.5,13.5,12.7,3729.0
714,36047046201,20.9,14.0,14.7,2632.0
715,36047046202,18.1,15.4,13.1,1803.0
716,36047046400,20.0,17.8,14.1,2838.0
717,36047046800,20.8,18.0,14.8,2054.0
718,36047047000,19.0,16.8,13.9,2886.0
719,36047047200,23.8,18.3,17.0,3141.0
720,36047047400,23.7,18.5,17.2,2969.0
721,36047047600,22.6,17.2,15.8,3646.0
722,36047047700,7.8,10.7,5.9,3318.0
723,36047047800,22.3,17.1,13.8,4848.0
724,36047048000,24.4,17.3,15.4,3769.0
725,36047048100,13.4,12.2,8.6,2778.0
726,36047048200,18.5,13.2,12.4,5331.0
727,36047048400,20.3,15.7,13.6,5481.0
728,36047048500,11.9,14.2,7.6,2510.0
729,36047048600,24.4,15.1,13.5,3568.0
730,36047048800,19.3,13.9,12.6,4395.0
731,36047048900,37.2,18.4,20.2,4039.0
732,36047049000,15.3,12.6,10.8,5899.0
733,36047049100,25.0,13.5,13.9,6418.0
734,36047049200,20.4,14.3,12.9,3495.0
735,36047049300,28.8,17.2,16.1,7625.0
736,36047049400,16.0,11.9,11.1,5308.0
737,36047049500,10.9,12.3,7.5,2603.0
738,36047049600,17.6,12.8,10.8,4513.0
739,36047049700,9.4,12.2,7.2,2645.0
740,36047049800,13.1,10.5,8.8,4232.0
741,36047049900,9.4,11.3,7.3,1753.0
742,36047050000,10.6,10.1,7.9,3474.0
743,36047050100,11.6,12.2,8.3,2786.0
744,36047050202,9.7,9.5,7.7,2201.0
745,36047050300,10.2,11.8,7.3,2582.0
746,36047050400,11.7,10.7,8.5,4527.0
747,36047050500,22.4,14.0,12.7,4163.0
748,36047050600,22.5,14.5,12.7,6016.0
749,36047050700,25.3,20.9,15.0,2288.0
750,36047050801,24.4,15.7,14.3,4080.0
751,36047050803,21.0,15.3,12.5,2464.0
752,36047050804,20.0,13.8,11.6,6250.0
753,36047050900,28.1,25.1,17.8,3694.0
754,36047051001,22.5,15.4,13.2,3926.0
755,36047051002,21.9,14.6,12.8,4725.0
756,36047051100,21.8,13.8,12.6,3933.0
757,36047051200,20.3,14.0,12.2,6398.0
758,36047051300,13.1,12.4,8.3,4332.0
759,36047051400,21.3,14.2,12.4,7366.0
760,36047051500,7.3,9.9,5.6,1372.0
761,36047051601,20.2,14.3,11.8,5732.0
762,36047051602,19.9,13.6,12.0,4028.0
763,36047051700,8.2,10.8,6.4,1735.0
764,36047051800,16.4,12.0,10.5,3415.0
765,36047051900,7.4,10.2,5.6,3564.0
766,36047052000,18.6,12.8,11.2,4228.0
767,36047052300,17.8,13.0,10.2,5469.0
768,36047052500,27.1,17.9,16.4,3499.0
769,36047052600,14.4,11.7,9.6,4357.0
770,36047052700,20.8,13.7,11.4,6629.0
771,36047052800,15.4,11.4,10.5,1818.0
772,36047052900,29.7,24.6,19.0,3979.0
773,36047053000,22.8,16.5,14.9,3465.0
774,36047053100,23.7,24.2,15.6,7027.0
775,36047053200,16.7,12.2,11.4,2579.0
776,36047053300,28.7,23.6,19.4,6566.0
777,36047053400,23.6,15.9,15.5,4383.0
778,36047053500,30.8,24.6,20.1,4348.0
779,36047053700,28.6,23.7,19.3,3575.0
780,36047053800,15.8,12.2,11.6,4473.0
781,36047053900,38.5,23.4,25.4,2756.0
782,36047054200,17.4,13.7,12.6,4450.0
783,36047054400,19.4,14.8,13.6,3406.0
784,36047054500,36.2,21.9,22.4,8008.0
785,36047054600,16.5,13.1,12.4,4346.0
786,36047054700,22.8,19.0,14.4,5245.0
