,GeoID,E_Advance,E_PreS
212,36005031400,36.3,100.0
213,36005031600,28.4,100.0
214,36005031800,32.8,100.0
215,36005032300,56.7,97.5
216,36005032600,27.3,9.0
217,36005032800,20.1,100.0
218,36005033000,13.6,21.8
219,36005033201,26.9,44.6
220,36005033202,17.1,100.0
221,36005033500,61.5,90.8
222,36005033600,15.5,55.2
223,36005033700,61.5,67.3
224,36005033800,18.8,71.6
225,36005034000,18.3,21.1
226,36005034200,25.5,73.1
227,36005034300,43.3,50.5
228,36005034400,32.7,60.0
229,36005034500,46.7,54.9
230,36005034800,24.8,100.0
231,36005035000,30.6,100.0
232,36005035100,51.7,100.0
233,36005035600,31.4,0.0
234,36005035800,31.5,58.8
235,36005035900,6.9,100.0
236,36005036000,24.2,65.0
237,36005036100,5.7,100.0
238,36005036300,15.3,18.6
239,36005036400,23.5,100.0
240,36005036501,13.0,43.8
241,36005036502,14.1,92.1
242,36005036700,14.4,80.5
243,36005036800,31.8,53.2
244,36005036901,10.2,60.8
245,36005036902,11.3,32.6
246,36005037000,15.8,100.0
247,36005037100,16.7,59.8
248,36005037200,23.5,92.5
249,36005037300,10.4,81.9
250,36005037400,11.6,65.7
251,36005037504,15.3,39.6
252,36005037600,28.0,73.6
253,36005037800,18.9,25.0
254,36005037900,10.0,66.4
255,36005038000,17.9,22.4
256,36005038100,14.2,38.3
257,36005038200,20.5,56.6
258,36005038301,12.1,73.8
259,36005038302,6.8,49.5
260,36005038500,3.7,11.3
261,36005038600,22.4,39.9
262,36005038700,16.8,0.0
263,36005038800,19.8,100.0
264,36005038900,16.8,47.7
265,36005039000,13.4,100.0
266,36005039100,18.8,72.2
267,36005039200,20.1,0.0
268,36005039300,12.3,51.5
269,36005039400,14.6,61.4
270,36005039500,16.5,75.4
271,36005039600,14.6,16.8
272,36005039700,16.9,100.0
273,36005039800,26.7,40.8
274,36005039901,8.1,44.4
275,36005039902,12.4,67.2
276,36005040100,9.5,61.8
277,36005040302,12.9,68.3
278,36005040303,15.9,67.8
279,36005040304,10.7,45.2
280,36005040400,32.1,100.0
281,36005040501,8.0,49.5
282,36005040502,14.7,79.4
283,36005040600,19.2,71.6
284,36005040701,18.4,92.8
285,36005040702,13.8,50.7
286,36005040800,14.1,50.0
287,36005040900,27.7,0.0
288,36005041100,15.3,56.6
289,36005041300,20.9,61.9
290,36005041400,19.8,65.6
291,36005041500,17.4,81.2
292,36005041800,21.9,81.3
293,36005041900,23.8,56.5
294,36005042000,18.6,87.2
295,36005042100,29.5,48.3
296,36005042200,23.6,71.7
297,36005042300,20.8,69.7
298,36005042400,30.3,100.0
299,36005042500,23.0,22.0
300,36005042600,30.2,45.3
301,36005042800,25.5,100.0
302,36005042901,16.3,0.6
303,36005042902,21.8,65.5
304,36005043000,22.4,75.4
305,36005043100,16.6,69.3
306,36005043400,25.8,46.4
307,36005043500,10.8,68.2
308,36005043600,28.8,100.0
