,GeoID,T_Transit
0,36005000100,9.01631953836444e-05
1,36005000200,0.0025230232138199475
2,36005000400,0.002078120558949198
3,36005001600,0.005440368598263335
4,36005001900,0.02125296582361553
5,36005002000,0.003423306481375431
6,36005002300,0.01562943442124468
7,36005002400,10.15
8,36005002500,0.011723729739573849
9,36005002701,0.01792483135239319
10,36005002702,0.01355679702048417
11,36005002800,0.008201721234302689
12,36005003100,0.04030284055331018
13,36005003300,0.019878744168225562
14,36005003500,0.018693882559875648
15,36005003700,0.3346938775510204
16,36005003800,0.024367088607594938
17,36005003900,0.011088803088803088
18,36005004001,0.0392018779342723
19,36005004100,0.01248571894891464
20,36005004200,0.007023192869475944
21,36005004300,0.017438027426160338
22,36005004400,0.011340421096518657
23,36005004600,0.027702201335641854
24,36005004800,0.010893638938964717
25,36005005001,0.00998531571218796
26,36005005002,0.007928330184898963
27,36005005100,0.01490041799852471
28,36005005200,0.028627699233312234
29,36005005300,0.014074595355383532
30,36005005400,0.01019420240332593
31,36005005600,0.019964957580228697
32,36005005902,0.033985282726568554
33,36005006000,0.04956115629277719
34,36005006100,0.024589280904928627
35,36005006200,0.008601800629135481
36,36005006300,0.018569920516641827
37,36005006400,0.015124779430299974
38,36005006500,0.01721610510421144
39,36005006700,0.013258877434135166
40,36005006800,0.01715567828788402
41,36005006900,0.011707503378576884
42,36005007000,0.012315564017134698
43,36005007100,0.04652714878199934
44,36005007200,0.010861561119293078
45,36005007300,0.02150012843565374
46,36005007400,0.008124759337697343
47,36005007500,0.01710530176334243
48,36005007600,0.011571397987582959
49,36005007700,0.0453208787407023
50,36005007800,0.006889590418253011
51,36005007900,0.011829356724124373
52,36005008300,0.011163978182662179
53,36005008400,0.006234203875315923
54,36005008500,0.013391409763042528
55,36005008600,0.006513409961685823
56,36005008700,0.013226146660640108
57,36005008900,0.019239848914069876
58,36005009000,0.005164303245159531
59,36005009200,0.008869842535379709
60,36005009300,0.00562063729424195
61,36005009600,0.010472886147519919
62,36005009800,0.007066296149265582
63,36005011000,0.07347839798170924
64,36005011502,0.012126642771804062
65,36005011700,0.013382035530466544
66,36005011800,0.0005966092706451667
67,36005011900,0.010721465266919812
68,36005012101,0.02087378640776699
69,36005012102,0.041385652973635806
70,36005012300,0.014720049869658846
71,36005012500,0.0168465337479422
72,36005012701,0.030681313803817133
73,36005012901,0.01774595267745953
74,36005013000,0.00998062015503876
75,36005013100,0.013406185519475278
76,36005013200,0.001539086144533845
77,36005013300,0.012670565302144249
78,36005013500,0.01939715322355568
79,36005013800,0.0023397919325521136
80,36005014100,0.025249522460183933
81,36005014300,0.08740445330674643
82,36005014400,0.0020855710705334767
83,36005014500,0.01195934586581079
84,36005014701,0.009441262962389722
85,36005014702,0.01118255521386637
86,36005014900,0.012488201553764613
87,36005015100,0.011472648466547525
88,36005015200,0.005654889038058624
89,36005015300,0.012031753907219053
90,36005015500,0.0166864749227478
91,36005015700,0.01532122905027933
92,36005015800,0.010696517412935324
93,36005015900,0.029574861367837338
94,36005016000,0.0025326627397240617
95,36005016100,0.011821410451547438
96,36005016200,0.007292255511588468
97,36005016300,inf
98,36005016400,0.00970808332771523
99,36005016500,0.057820545285726346
100,36005016600,0.006074743645818146
101,36005016700,0.0299875991131487
102,36005016900,0.03453311571170862
103,36005017100,inf
104,36005017300,0.013919046823673514
105,36005017500,0.012154536246563449
106,36005017701,0.017133541819149643
107,36005017702,0.013631633714880333
108,36005017901,0.018516142826598244
109,36005017902,0.018678561471982158
110,36005018101,0.026111111111111113
111,36005018102,0.015166516651665166
112,36005018301,0.017281767955801105
113,36005018302,0.02275843158760625
114,36005018400,0.003357420789327404
115,36005018500,0.009881834687620918
116,36005018900,0.013007395940832472
117,36005019300,0.017296199497261574
118,36005019400,0.009430344690460299
119,36005019500,0.009775423132823854
120,36005019700,0.010651913078256234
121,36005019900,0.010158613359496362
122,36005020000,0.0069508507585075855
123,36005020100,0.019347121853974584
124,36005020200,0.016874077198903187
125,36005020400,0.016037390029325513
126,36005020501,0.010182961692395654
127,36005020502,0.036281179138321996
128,36005020601,0.013629976580796252
129,36005020900,0.017243751433157532
130,36005021001,0.006171028439541525
131,36005021002,0.007625946213459008
132,36005021100,0.01234363121155574
133,36005021200,0.010100626542623885
134,36005021301,0.05636969192339717
135,36005021302,0.012668513388734995
136,36005021501,0.017969195664575013
137,36005021502,0.01057676417121137
138,36005021601,0.014376287842764306
139,36005021602,0.009834779356086525
140,36005021700,0.013048368953880764
141,36005021800,0.009376132308196299
142,36005021900,0.05157278712509144
143,36005022000,0.03698722259583053
144,36005022101,0.018446349701221096
145,36005022102,0.013119533527696793
146,36005022200,0.0135140771637122
147,36005022300,0.013696255201109571
148,36005022401,0.01872757965815573
149,36005022403,0.016813048933500628
150,36005022404,0.010518645249184172
151,36005022500,0.009270412621932497
152,36005022701,0.014389767276603306
153,36005022702,0.047086521483225424
154,36005022703,0.049999999999999996
155,36005022800,0.007786533719309531
156,36005022901,0.014219207235967013
157,36005022902,0.022369167648727685
158,36005023000,0.016858757062146894
159,36005023100,0.044195557207918956
160,36005023200,0.018930853062758362
161,36005023301,0.01609422993932932
162,36005023302,0.020849194729136166
163,36005023501,0.023271475606105957
164,36005023502,0.017698358413132696
165,36005023600,0.027734079123696322
166,36005023702,0.072522159548751
167,36005023703,0.018037312012183514
168,36005023704,0.025412453432676955
169,36005023800,0.0178366566511882
170,36005023900,0.01159559175850503
171,36005024000,0.015198351365275631
172,36005024100,0.012940795858945324
173,36005024300,0.012371738493110523
