,GeoID,T_Vehicle
295,36005040400,26.5
296,36005040501,16.3
297,36005040502,22.5
298,36005040600,29.9
299,36005040701,21.3
300,36005040702,23.3
301,36005040800,37.7
302,36005040900,37.9
303,36005041100,29.2
304,36005041300,30.7
305,36005041400,31.2
306,36005041500,38.9
307,36005041800,42.3
308,36005041900,31.8
309,36005042000,29.6
310,36005042100,25.7
311,36005042200,33.4
312,36005042300,28.0
313,36005042400,30.5
314,36005042500,31.1
315,36005042600,44.8
316,36005042800,46.6
317,36005042901,31.0
318,36005042902,27.4
319,36005043000,48.0
320,36005043100,28.5
321,36005043400,25.9
322,36005043500,14.6
323,36005043600,26.8
324,36005044200,23.6
325,36005044400,45.9
326,36005044800,50.5
327,36005044901,45.7
328,36005044902,46.1
329,36005045101,55.7
330,36005045102,50.3
331,36005045600,34.2
332,36005045800,7.5
333,36005046000,37.7
334,36005046201,44.0
335,36005046202,36.0
336,36005048400,41.8
338,36005051600,50.3
339,36047000100,33.3
340,36047000200,23.0
341,36047000301,34.1
342,36047000501,25.5
343,36047000502,18.8
344,36047000700,35.7
345,36047000900,23.8
346,36047001100,16.8
347,36047001300,42.7
348,36047001500,15.3
350,36047002000,20.9
351,36047002100,45.6
352,36047002200,29.7
353,36047002300,14.2
354,36047002901,25.3
355,36047003000,42.1
356,36047003100,33.5
357,36047003300,16.0
358,36047003400,43.8
359,36047003500,30.3
360,36047003600,40.6
361,36047003700,14.4
362,36047003800,54.2
363,36047003900,29.8
364,36047004100,32.7
365,36047004300,31.2
366,36047004400,36.7
367,36047004500,28.2
368,36047004600,43.5
369,36047004700,49.7
370,36047004900,36.7
371,36047005000,52.5
372,36047005100,55.6
373,36047005201,21.0
374,36047005202,55.1
375,36047005300,48.5
376,36047005400,37.9
377,36047005601,41.6
378,36047005602,50.5
379,36047005800,39.3
380,36047005900,44.6
381,36047006000,29.5
382,36047006200,33.5
383,36047006300,44.4
384,36047006400,38.8
385,36047006500,34.8
386,36047006600,35.5
387,36047006700,42.4
388,36047006800,31.9
389,36047006900,32.3
390,36047007000,45.4
391,36047007100,23.3
392,36047007200,19.9
393,36047007400,37.5
394,36047007500,44.9
395,36047007600,20.3
396,36047007700,37.6
397,36047007800,32.2
398,36047008000,26.4
399,36047008200,22.0
400,36047008400,26.9
401,36047008500,12.7
403,36047008800,37.0
404,36047009000,32.7
405,36047009200,23.6
406,36047009400,31.1
407,36047009600,29.1
408,36047009800,25.0
409,36047010000,22.8
410,36047010100,34.9
411,36047010200,25.7
412,36047010400,36.6
413,36047010600,32.2
414,36047010800,30.7
415,36047011000,34.6
416,36047011200,23.2
417,36047011400,20.9
418,36047011600,24.0
419,36047011700,33.6
420,36047011800,29.3
421,36047011900,43.7
422,36047012000,49.7
423,36047012100,39.3
424,36047012200,19.1
425,36047012600,33.0
426,36047012700,17.2
427,36047012801,39.4
428,36047012901,28.1
429,36047012902,28.4
430,36047013000,38.9
431,36047013100,29.4
