,GeoID,T_Commute
0,36005000100,0.0
1,36005000200,0.4796380090497738
2,36005000400,0.4421648390519986
3,36005001600,0.541030534351145
4,36005001900,0.7256317689530686
5,36005002000,0.733069306930693
6,36005002300,0.8318385650224215
7,36005002400,1.0
8,36005002500,0.8115088355233349
9,36005002701,0.8385481852315394
10,36005002702,0.8876404494382022
11,36005002800,0.5558786871624429
12,36005003100,0.755771567436209
13,36005003300,0.7404403244495944
14,36005003500,0.7426666666666667
15,36005003700,0.6198347107438017
16,36005003800,0.47878787878787876
17,36005003900,0.8350217076700435
18,36005004001,0.6140350877192983
19,36005004100,0.8604651162790697
20,36005004200,0.6015542211232779
21,36005004300,0.7980266976204294
22,36005004400,0.678082191780822
23,36005004600,0.6858552631578947
24,36005004800,0.6383315733896515
25,36005005001,0.7690886699507389
26,36005005002,0.8277227722772277
27,36005005100,0.862202545655783
28,36005005200,0.7869458128078818
29,36005005300,0.694331983805668
30,36005005400,0.7957276368491322
31,36005005600,0.7521685254027262
32,36005005902,0.7569258266309205
33,36005006000,0.5600739371534196
34,36005006100,0.6579108124618204
35,36005006200,0.7831325301204819
36,36005006300,0.8363947031183255
37,36005006400,0.6406135865595325
38,36005006500,0.8537037037037037
39,36005006700,0.781104199066874
40,36005006800,0.7984615384615384
41,36005006900,0.6887172599059772
42,36005007000,0.7156862745098039
43,36005007100,0.6288819875776398
44,36005007200,0.614771296684851
45,36005007300,0.7627511591962906
46,36005007400,0.48172757475083056
47,36005007500,0.7958519723464823
48,36005007600,0.7186067827681026
49,36005007700,0.6764705882352942
50,36005007800,0.6467459324155194
51,36005007900,0.7304582210242587
52,36005008300,0.7867811799850635
53,36005008400,0.49922239502332816
54,36005008500,0.8512526096033403
55,36005008600,0.8151001540832049
56,36005008700,0.8302687411598303
57,36005008900,0.6861377506538797
58,36005009000,0.6151241534988713
59,36005009200,0.6261277517141826
60,36005009300,0.6666666666666666
61,36005009600,0.5715800636267232
62,36005009800,0.42885278188084686
63,36005011000,0.0
64,36005011502,0.7070161912104858
65,36005011700,0.7884615384615384
66,36005011800,0.31603977518374404
67,36005011900,0.8179623370352487
68,36005012101,0.7700534759358288
69,36005012102,0.8568329718004338
70,36005012300,0.7071908949818935
71,36005012500,0.6243386243386243
72,36005012701,0.7990430622009569
73,36005012901,0.8139013452914798
74,36005013000,0.20812807881773399
75,36005013100,0.6535677352637022
76,36005013200,0.32735302235716257
77,36005013300,0.7486361728913135
78,36005013500,0.7844551282051282
79,36005013800,0.2747875354107649
80,36005014100,0.7936643835616438
81,36005014300,0.8426103646833013
82,36005014400,0.5033313143549364
83,36005014500,0.7105263157894737
84,36005014701,0.6881785283474066
85,36005014702,0.8618346545866364
86,36005014900,0.6552941176470588
87,36005015100,0.6769845232151772
88,36005015200,0.41186161449752884
89,36005015300,0.5923076923076923
90,36005015500,0.7574257425742574
91,36005015700,0.8028846153846154
92,36005015800,0.3811188811188811
93,36005015900,0.7473867595818815
94,36005016000,0.272234273318872
95,36005016100,0.6606822262118492
96,36005016200,0.3200962695547533
97,36005016300,0.0
