,N_TreeD,GeoID
2157,4.504006166379733,36005000200
1374,4.743882130476179,36005000400
994,4.421631948379935,36005001600
1945,1.428474973820026,36005001900
1060,5.062188997063066,36005002000
1789,2.5902218452837116,36005002300
1170,10.916011143964274,36005002400
1232,6.730102753237582,36005002500
1238,7.360985013232824,36005002701
1239,4.803081471285595,36005002702
1171,2.5998456761953395,36005002800
581,3.1373266080415987,36005003100
249,5.763810011276819,36005003300
250,5.825779053076,36005003500
1253,21.39825236783582,36005003700
251,7.279515940676843,36005003800
1233,7.82650158273609,36005003900
252,6.146432174972323,36005004001
1213,5.946680657736927,36005004100
995,3.886172330313485,36005004200
1388,6.656196510565798,36005004300
253,3.231561607239493,36005004400
608,5.414413977872443,36005004600
254,6.5833015367123435,36005004800
574,7.731290800449349,36005005001
741,7.2823133369526385,36005005002
1864,3.25067710301418,36005005100
582,5.591936471303034,36005005200
679,3.9610077918064617,36005005400
1243,5.705470073951738,36005005600
1731,4.955082762074015,36005005902
1261,1.7978993634793097,36005006000
1736,1.0001911782126158,36005006100
1252,6.034512354021187,36005006200
1766,9.161921828676993,36005006300
1000,7.912001668745316,36005006400
1391,4.73341952988204,36005006500
659,4.934589667557921,36005006700
255,9.13808223483973,36005006800
782,8.264937234888299,36005006900
256,6.234629065223984,36005007000
1150,5.380104102678813,36005007100
1014,5.679345317398657,36005007200
564,7.916884487675035,36005007300
717,4.934668517169753,36005007400
562,7.724343203572069,36005007500
1015,5.447183872595138,36005007600
1500,7.425573110000624,36005007700
731,5.905447716487911,36005007800
1486,8.29567685355665,36005007900
1210,6.599174857299652,36005008300
658,4.577054863705235,36005008400
2148,7.289054430322581,36005008500
718,3.01918975914607,36005008600
2149,11.444475257857952,36005008700
2147,5.489456038801052,36005008900
1138,2.6098796241902313,36005009000
732,5.394849564289597,36005009200
2159,3.5975160342827244,36005009300
1700,3.728862527694679,36005009600
537,5.797947835102448,36005009800
1139,2.1573887193800867,36005011000
2160,5.787944160841462,36005011502
2158,1.9234060516282192,36005011700
1832,1.8205496823028349,36005011800
1362,9.536948727182802,36005011900
257,6.8553141669034074,36005012101
1330,8.149764725214732,36005012102
1455,5.055940887359523,36005012300
258,7.645852329990039,36005012500
1367,8.282689139052822,36005012701
1476,6.057765647322265,36005012901
970,5.896571643948268,36005013000
1477,7.948009218525396,36005013100
1126,6.8348774850330285,36005013200
2043,4.193241352616912,36005013300
2044,6.3153044938252805,36005013500
1836,2.159248858238158,36005013800
1508,9.272786362563943,36005014100
259,4.89931069631891,36005014300
775,3.570668671010998,36005014400
971,4.4491350390718205,36005014500
1149,3.097911365254782,36005014701
720,3.946751994922442,36005014702
2116,5.659892766080675,36005014900
2117,8.46604358049246,36005015100
481,3.8283857534540635,36005015200
1506,8.460968099874359,36005015300
1189,5.626700790379203,36005015500
1456,5.453429091541909,36005015700
479,5.047720917242593,36005015800
840,5.831802838738918,36005015900
2109,3.661282744948865,36005016000
1357,7.685933405094087,36005016100
260,4.705369908743879,36005016200
1358,18.29732693745181,36005016300
639,6.403840440605212,36005016400
1224,5.122119781448051,36005016500
261,3.6790675476892125,36005016600
1364,5.1465647081837105,36005016700
721,6.620056168889761,36005016900
1365,25.2742040387725,36005017100
1737,7.8053450752552935,36005017300
262,8.382096492863822,36005017500
1240,7.707600263540371,36005017701
1366,6.981779229358869,36005017702
1257,7.911014707554332,36005017901
263,10.79066912638538,36005017902
1229,7.809334350577884,36005018101
1228,8.625206621760345,36005018102
1899,7.750262300938003,36005018301
1512,6.127844376751287,36005018302
638,5.428815850453219,36005018400
1509,7.79654913175987,36005018500
1145,7.193275116449615,36005018900
1051,3.8719663402745854,36005019300
1196,3.6025221435007886,36005019400
1937,12.574542568320632,36005019500
1258,6.04444162056451,36005019700
937,7.053581972996644,36005019900
2113,6.946224321765037,36005020000
730,5.15277995687829,36005020100
1701,7.231189109766688,36005020200
2003,7.310359873791332,36005020400
662,4.815274382443592,36005020501
903,4.244584589222875,36005020502
264,5.39853519708174,36005020601
1012,5.780194842871657,36005020900
1781,2.7887836359465106,36005021001
602,3.5141202406413266,36005021002
516,8.110096393295217,36005021100
603,4.2704333459091,36005021200
1883,5.1387022954398756,36005021301
1464,6.1288387797990405,36005021302
770,10.197985813724017,36005021501
1884,9.901608390686748,36005021502
1518,7.023559968908594,36005021601
1520,4.9449327143593065,36005021602
1885,5.647003531091335,36005021700
2054,5.009280803611376,36005021800
1465,4.916475765334541,36005021900
1167,2.8223459397982875,36005022000
719,7.0791063410685835,36005022101
265,8.32303859508571,36005022102
1868,5.917218249900529,36005022200
266,7.610989096508493,36005022300
1299,6.07331449430484,36005022401
484,18.913357333664145,36005022403
492,6.969614378056587,36005022404
1013,7.376356329921281,36005022500
1255,8.094003633227167,36005022701
533,6.0903606425487,36005022702
532,6.395529893471819,36005022703
518,6.445228564770731,36005022800
607,8.11866773230772,36005022901
1267,8.313922382468526,36005022902
1300,4.16031568141067,36005023000
1023,4.825020681043965,36005023100
267,6.692453779771773,36005023200
1256,7.803173600347564,36005023301
450,6.864799934821574,36005023302
447,8.334868094918097,36005023501
1043,6.593124551410406,36005023502
1521,6.779389929661832,36005023600
1212,4.73058981352429,36005023702
1218,8.900146408864783,36005023703
980,7.118503663387127,36005023704
1782,2.8247766602604876,36005023800
1237,7.832341235403042,36005023900
2055,4.174568103347006,36005024000
1214,8.33575460681827,36005024100
268,5.934845448629998,36005024300
526,4.809943504969344,36005024400
1095,7.064012462897205,36005024501
940,7.645717528495437,36005024502
269,5.841185895796046,36005024600
1355,4.539513655915032,36005024700
883,9.99904157614818,36005024800
1334,1.8041357993963991,36005024900
1524,4.27621633204588,36005025000
1526,8.440958756586381,36005025100
1525,6.5076543335300805,36005025200
1527,10.059001012559463,36005025300
270,8.026482368322695,36005025400
1329,5.382041951529835,36005025500
766,5.386584677737157,36005025600
1100,2.3731944457287364,36005025700
891,1.4802608310989909,36005026100
892,8.786142499691781,36005026300
1198,5.672867213148695,36005026400
566,6.973613685929001,36005026500
777,5.703572487502829,36005026601
778,5.315644876565279,36005026602
523,5.512130836954743,36005026701
449,11.205547490036292,36005026702
839,3.490288082753483,36005026900
519,4.251734462580275,36005027300
2107,4.12857328548608,36005027401
612,3.1964144359407234,36005027402
1954,3.722597510018868,36005027600
2119,4.2395021951484635,36005027700
2120,6.483535208985178,36005027900
2100,8.368414722404106,36005028100
1528,3.9201208872798734,36005028300
1968,3.27829712717515,36005028400
1529,4.365745196502311,36005028500
2114,6.25112853330512,36005028600
271,5.8146085127350124,36005028700
1816,6.2388665015747895,36005028800
1162,5.7665500441902475,36005028900
1581,6.196941552315339,36005029301
1966,3.0148453324924582,36005029302
1967,10.331100416101268,36005029500
2115,8.767891819156654,36005029600
1088,7.534410689790323,36005029700
549,8.119921474243744,36005030000
272,10.646934050116156,36005030100
1877,4.167835954908476,36005030200
1078,2.7796260246174613,36005030701
1122,1.5894217040015588,36005030900
2024,7.038747506607745,36005031000
273,5.065037237904278,36005031200
274,4.945924621896209,36005031400
893,4.659944871828118,36005031600
905,4.765791084202569,36005031800
1083,0.07316893085525807,36005031900
1123,0.9262506686396247,36005032300
894,3.1397992357167976,36005032400
895,4.674915003464915,36005032600
466,4.46942090798126,36005032800
275,3.927152596630767,36005033000
504,5.799922818685478,36005033201
1946,4.598172987630164,36005033202
1950,3.367077411744375,36005033400
1537,3.02047996753382,36005033500
954,5.1782998410499195,36005033600
835,6.491048881678637,36005033700
913,3.184549284927222,36005033800
1861,5.521453660030684,36005034000
1862,4.82622669737194,36005034200
756,4.825300609379914,36005034300
489,4.63861304911267,36005034400
796,6.205033402254343,36005034500
956,4.648294870749206,36005034800
906,3.3306687316296086,36005035000
912,2.1119526922937117,36005035100
2066,3.583958101427378,36005035600
674,6.857807732655049,36005035800
875,5.397095041471484,36005035900
2067,5.518603871601241,36005036000
866,7.052972863055649,36005036100
2063,12.177595123692523,36005036300
957,4.770444042632952,36005036400
2071,5.345856303212283,36005036501
276,5.225475350224471,36005036502
824,5.242251777307456,36005036700
278,5.1930423435451365,36005036800
445,5.743266566050319,36005036901
446,6.030015317284782,36005036902
1543,5.122953363845377,36005037000
1705,6.692109808928492,36005037100
1544,4.7919709234612196,36005037200
1458,6.121078521319091,36005037300
1412,4.0656493058457395,36005037400
1459,8.732138306303652,36005037504
955,5.045259220049845,36005037600
1378,4.858352634943543,36005037800
1024,5.241363910217546,36005037900
1413,3.953699794614972,36005038000
1044,8.312732403263674,36005038100
570,5.75172584192609,36005038200
1211,8.20020202684641,36005038301
1734,6.456981833848368,36005038302
1735,7.115045234412768,36005038500
605,3.82615002511006,36005038600
1390,6.649556884819114,36005038700
604,5.001317209563399,36005038800
1259,7.911678807887872,36005038900
2075,3.5002888076242855,36005039000
1457,6.581050300396238,36005039100
2080,3.701450026689572,36005039200
1706,5.5930830730082715,36005039300
279,5.218356028208026,36005039400
711,9.169683661315801,36005039500
280,4.659256905918886,36005039600
1247,2.05129174687416,36005039700
281,4.350075269489731,36005039800
757,7.4203543547793895,36005039901
1254,5.188698805548281,36005039902
282,10.476464159977384,36005040100
448,6.444347399701221,36005040302
283,6.8378881869916,36005040303
284,6.202825787612495,36005040304
285,4.83171335626313,36005040400
286,6.533222939929759,36005040501
287,5.565268102966245,36005040502
288,4.729389418372519,36005040600
289,7.52980673791436,36005040701
904,5.787346175950369,36005040702
521,5.624225442923985,36005040800
2118,2.769284978409899,36005040900
1016,6.618559123963411,36005041100
1249,7.402036899034584,36005041300
972,2.3843277604427207,36005041400
1251,7.312410444292633,36005041500
1087,3.5971143176010547,36005041800
1250,16.365426288764876,36005041900
520,4.881567606924746,36005042000
982,9.19317954906388,36005042100
290,4.045245289163695,36005042200
292,19.969702293100994,36005042300
293,4.443059887032553,36005042400
1200,10.31384864483289,36005042500
634,5.037371293371093,36005042600
294,5.190740332410361,36005042800
624,5.16342223328727,36005042901
