,GeoID,N_HFood
0,36005000100,0.0
1,36005000200,0.001797123328645448
2,36005000400,0.009036509966405376
3,36005001600,0.0
4,36005001900,0.0
5,36005002000,0.0
6,36005002300,0.0
7,36005002400,0.0
8,36005002500,0.0
9,36005002701,0.0
10,36005002702,0.0
11,36005002800,0.0
12,36005003100,0.0
13,36005003300,0.0
14,36005003500,0.0
15,36005003700,0.0
16,36005003800,0.0
17,36005003900,0.0
18,36005004001,0.0
19,36005004100,0.0
20,36005004200,0.0
21,36005004300,0.0
22,36005004400,0.0
23,36005004600,0.0
24,36005004800,0.0
25,36005005001,0.0
26,36005005002,0.0
27,36005005100,0.0
28,36005005200,0.0
29,36005005300,0.0
30,36005005400,0.0
31,36005005600,0.0
32,36005005902,0.0
33,36005006000,0.0
34,36005006100,0.0
35,36005006200,0.0
36,36005006300,0.0
37,36005006400,0.0
38,36005006500,0.0
39,36005006700,0.0
40,36005006800,0.0
41,36005006900,0.0
42,36005007000,0.0
43,36005007100,0.0
44,36005007200,0.0
45,36005007300,0.0
46,36005007400,0.0
47,36005007500,0.0
48,36005007600,0.0
49,36005007700,0.0
50,36005007800,0.0
51,36005007900,0.0
52,36005008300,0.0
53,36005008400,0.0
54,36005008500,0.0
55,36005008600,0.0
56,36005008700,0.0
57,36005008900,0.0
58,36005009000,0.0
59,36005009200,0.0
60,36005009300,0.0
61,36005009600,0.0016127617309859153
62,36005009800,0.0
63,36005011000,0.22011137562790697
64,36005011502,0.0
65,36005011700,0.0
66,36005011800,0.06878196414974619
67,36005011900,0.0
68,36005012101,0.0
69,36005012102,0.0
70,36005012300,0.0
71,36005012500,0.0
72,36005012701,0.0
73,36005012901,0.0
74,36005013000,0.0011471445259433962
75,36005013100,0.0
76,36005013200,0.09297003892955169
77,36005013300,0.0
78,36005013500,0.0
79,36005013800,0.10588918467552777
80,36005014100,0.0
81,36005014300,0.0
82,36005014400,0.03448751802367942
83,36005014500,0.0
84,36005014701,0.0
85,36005014702,0.0
86,36005014900,0.0
87,36005015100,0.0
88,36005015200,0.0
89,36005015300,0.0
90,36005015500,0.0
91,36005015700,0.0
92,36005015800,0.0
93,36005015900,0.0
94,36005016000,0.0
95,36005016100,0.0
96,36005016200,0.0
97,36005016300,0.0
98,36005016400,0.0
99,36005016500,0.0
100,36005016600,0.0
101,36005016700,0.0
102,36005016900,0.0
103,36005017100,0.0
104,36005017300,0.0
105,36005017500,0.0
106,36005017701,0.0
107,36005017702,0.0
108,36005017901,0.0
109,36005017902,0.0
110,36005018101,0.0
111,36005018102,0.0
112,36005018301,0.0
113,36005018302,0.0
114,36005018400,0.0
115,36005018500,0.0
116,36005018900,0.0
117,36005019300,0.0
118,36005019400,0.0
119,36005019500,0.0
120,36005019700,0.0
121,36005019900,0.0
122,36005020000,0.0
123,36005020100,0.0
124,36005020200,0.0
125,36005020400,0.0
126,36005020501,0.0
127,36005020502,0.0
128,36005020601,0.0
129,36005020900,0.0
130,36005021001,0.0
131,36005021002,0.0
132,36005021100,0.0
133,36005021200,0.0
134,36005021301,0.0
135,36005021302,0.0
136,36005021501,0.0
137,36005021502,0.0
138,36005021601,0.0
139,36005021602,0.0
140,36005021700,0.0
141,36005021800,0.0
142,36005021900,0.0
143,36005022000,0.0
144,36005022101,0.0
145,36005022102,0.0
146,36005022200,0.0
147,36005022300,0.0
148,36005022401,0.0
149,36005022403,0.0
150,36005022404,0.0
151,36005022500,0.0
152,36005022701,0.0
153,36005022702,0.0
154,36005022703,0.0
155,36005022800,0.0
156,36005022901,0.0
157,36005022902,0.0
158,36005023000,0.0
159,36005023100,0.0
160,36005023200,0.0
161,36005023301,0.0
162,36005023302,0.0
163,36005023501,0.0
164,36005023502,0.0
165,36005023600,0.0
166,36005023702,0.0
167,36005023703,0.0
168,36005023704,0.0
169,36005023800,0.0
170,36005023900,0.0
171,36005024000,0.0
172,36005024100,0.0
173,36005024300,0.0
174,36005024400,0.0
175,36005024501,0.0
176,36005024502,0.0
177,36005024600,0.0
178,36005024700,0.0
179,36005024800,0.0
180,36005024900,0.0
181,36005025000,0.0
182,36005025100,0.0
183,36005025200,0.0
184,36005025300,0.0
185,36005025400,0.0
186,36005025500,0.0
187,36005025600,0.0
188,36005025700,0.0
189,36005026100,0.0
190,36005026300,0.0
191,36005026400,0.0
192,36005026500,0.0
193,36005026601,0.0
194,36005026602,0.0
195,36005026701,0.0
196,36005026702,0.0
197,36005026900,0.0
198,36005027300,0.0
199,36005027401,0.0
200,36005027402,0.0
201,36005027600,0.18120946751152076
202,36005027700,0.0
203,36005027900,0.0
204,36005028100,0.0
205,36005028300,0.0
206,36005028400,0.0017844445901639343
207,36005028500,0.0
208,36005028600,0.0
209,36005028700,0.0
210,36005028800,0.0
211,36005028900,0.0
212,36005029301,0.007933687769060773
213,36005029302,0.0
214,36005029500,0.0
215,36005029600,0.5161608395284327
216,36005029700,0.0
217,36005030000,0.0
218,36005030100,0.0
219,36005030200,0.0008856640059765719
220,36005030701,0.043901483204633204
221,36005030900,0.036134566854182086
222,36005031000,0.0009526835747663551
223,36005031200,0.004975210391681109
224,36005031400,0.012207424752351096
225,36005031600,0.0
226,36005031800,0.0
227,36005031900,0.0
228,36005032300,0.0
229,36005032400,0.0
230,36005032600,0.0
231,36005032800,0.0
232,36005033000,0.0
233,36005033201,0.0
234,36005033202,0.0
235,36005033400,0.0
236,36005033500,0.013208907136181575
237,36005033600,0.0
238,36005033700,0.0
239,36005033800,0.0
240,36005034000,0.0
241,36005034200,0.0
242,36005034300,0.0
